Contig	T0_A Trimmed Mean	T0_B Trimmed Mean	T0_C Trimmed Mean	T1H218OP_A Trimmed Mean	T1H218OP_B Trimmed Mean	T1H218OP_C Trimmed Mean	T1H218O_A Trimmed Mean	T1H218O_B Trimmed Mean	T1H218O_C Trimmed Mean	T1H2OP_A Trimmed Mean	T1H2OP_B Trimmed Mean	T1H2OP_C Trimmed Mean	T1H2O_A Trimmed Mean	T1H2O_B Trimmed Mean	T1H2O_C Trimmed Mean	T2H218OP_A Trimmed Mean	T2H218OP_B Trimmed Mean	T2H218OP_C Trimmed Mean	T2H218O_A Trimmed Mean	T2H218O_B Trimmed Mean	T2H218O_C Trimmed Mean	T2H2OP_A Trimmed Mean	T2H2OP_B Trimmed Mean	T2H2OP_C Trimmed Mean	T2H2O_A Trimmed Mean	T2H2O_B Trimmed Mean	T2H2O_C Trimmed Mean	T3H218OP_A Trimmed Mean	T3H218OP_B Trimmed Mean	T3H218OP_C Trimmed Mean	T3H218O_B Trimmed Mean	T3H218O_C Trimmed Mean	T3H2OP_A Trimmed Mean	T3H2OP_B Trimmed Mean	T3H2OP_C Trimmed Mean	T3H2O_A Trimmed Mean	T3H2O_B Trimmed Mean	T3H2O_C Trimmed Mean
NODE_3037_length_15804_cov_22.476791__full	28.999786	0	23.225409	0	0	21.119091	0	0	0	0	0	0	0	0	0	29.50291	52.360397	61.583675	25.239532	18.530092	46.44308	15.080837	18.422428	31.29858	7.9323635	20.16941	6.200639	12.025053	18.442371	14.271399	11.09709	35.52796	25.167353	28.924202	19.463095	31.906317	30.027395	25.536055
NODE_3038_length_15804_cov_9.704107__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.10582	0	43.931442	19.993683	0	0	0	17.421646	16.42115	40.60135	0	0	0	4.822711	0	0	0	0	0	0	0	0	0	0
NODE_3040_length_15795_cov_12.306193__full	0	0	0	0	0	64.23479	0	0	0	0	0	0	0	0	0	28.953697	56.43846	62.14722	40.51168	18.591578	36.513103	0	0	16.599531	0	0	0	11.166821	11.9951	33.9527	0	0	0	0	0	0	0	0
NODE_3041_length_15794_cov_14.357184__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1683235	43.86605	10.618963	0	0	0	4.64375	0	21.107954	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_3044_length_15791_cov_12.989103__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.350927	70.35846	46.536476	0	0	0	16.959366	15.733537	28.801662	0	0	0	5.8951483	8.659373	11.969738	0	45.619022	24.147474	0	0	0	20.632236	24.797543
NODE_3045_length_15786_cov_8.487856__full	58.735184	0	49.10409	0	0	0	0	0	0	0	0	0	0	0	0	0	50.051018	42.26972	18.683743	12.676141	25.144876	7.040287	15.179622	43.657524	0	11.19028	0	8.706694	10.32656	16.327555	0	0	0	0	0	0	0	0
NODE_3047_length_15776_cov_9.861007__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.934088	43.97106	0	0	0	0	0	0	0	0	0	6.718714	0	0	0	0	0	0	0	0	0	0
NODE_3048_length_15773_cov_11.216346__full	0	0	0	76.090034	62.11372	75.50537	58.312424	0	0	48.72712	0	42.911743	61.664463	50.014862	35.91437	83.12595	98.75727	120.63594	137.87639	58.932865	144.07077	34.2263	93.67229	145.71104	22.808477	64.05412	13.899509	10.02539	23.57158	38.816086	15.998507	77.17694	78.56618	30.31214	38.64419	96.28476	66.72882	60.090107
NODE_3049_length_15763_cov_11.824055__full	0	0	0	0	0	39.138332	0	0	0	0	0	0	0	0	0	0	51.834057	22.111008	0	0	0	8.321497	13.339358	47.68391	0	0	0	6.6351666	0	6.679499	0	0	0	0	0	0	0	0
NODE_3053_length_15752_cov_15.983134__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.646347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_3054_length_15751_cov_21.346282__full	0	0	0	26.31757	34.54469	28.511074	0	0	0	19.010399	0	0	0	0	0	35.780357	57.163876	53.595116	27.373549	6.8434587	14.556086	15.9991455	15.427249	58.46115	0	10.523467	4.1098924	2.8638275	6.05897	19.392849	0	13.63806	20.293427	0	0	0	0	21.240652
