Contig	T0-E-Dry-soil-A Mean	T0-E-Dry-soil-B Mean	T0-E-Dry-soil-C Mean	T1-E-H218O-A Mean	T1-E-H218O-B Mean	T1-E-H218O-C Mean	T1-E-H218O-P-A Mean	T1-E-H218O-P-B Mean	T1-E-H218O-P-C Mean	T1-E-H2O-A Mean	T1-E-H2O-B Mean	T1-E-H2O-C Mean	T1-E-H2O-P-A Mean	T1-E-H2O-P-B Mean	T1-E-H2O-P-C Mean	T2-E-H218O-A Mean	T2-E-H218O-B Mean	T2-E-H218O-C Mean	T2-E-H218O-P-A Mean	T2-E-H218O-P-B Mean	T2-E-H218O-P-C Mean	T2-E-H2O-A Mean	T2-E-H2O-B Mean	T2-E-H2O-C Mean	T2-E-H2O-P-A Mean	T2-E-H2O-P-B Mean	T2-E-H2O-P-C Mean	T3-E-H218O-A Mean	T3-E-H218O-B Mean	T3-E-H218O-C Mean	T3-E-H218O-P-A Mean	T3-E-H218O-P-B Mean	T3-E-H218O-P-C Mean	T3-E-H2O-A Mean	T3-E-H2O-B Mean	T3-E-H2O-C Mean	T3-E-H2O-P-A Mean	T3-E-H2O-P-B Mean	T3-E-H2O-P-C Mean
NODE_1250_length_15418_cov_5.881650__full	0	0.03667802	0	0	0	0	0	0	0	0.03667802	0	0	0	0	0	0	0	0	0.03667802	0	0	0	0	0.01833901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1252_length_15411_cov_5.497061__full	0.6785925	0.3100059	0	0	0	0	0	0	0	0.036694843	0	0	0	0	0	0.036498263	0.036694843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1297_length_15089_cov_4.699199__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1301_length_15074_cov_5.868915__full	0.3468239	0.29080674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1317_length_14978_cov_8.238793__full	1.0763421	0.6514702	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009374157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1347_length_14732_cov_10.775029__full	0.09600878	0.35523248	0	0	0	0	0	0	0	0.07680702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1352_length_14695_cov_10.293437__full	3.7999313	4.785906	0	0	0	0	0	0	0	0.052251633	0	0	0.038501203	0	0.077002406	0.038501203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1402_length_14361_cov_6.044243__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1429_length_14176_cov_6.776373__full	0.92806214	0.81847996	0	0	0	0	0	0	0	0	0	0	0.009981463	0	0.019962925	0.019962925	0.019962925	0	0	0	0	0.029944388	0	0.059888776	0	0.03992585	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1434_length_14161_cov_6.438344__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029976446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1437_length_14149_cov_11.191744__full	0.060004286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1439_length_14145_cov_14.848427__full	0.5893533	0.42015004	0	0	0	0	0	0	0	0.120042875	0	0	0	0	0	0	0	0	0	0	0	0.010003572	0	0	0	0	0	0	0	0	0	0	0	0.060021438	0	0	0	0	0
NODE_1440_length_14143_cov_3.972373__full	1.5206175	1.2997928	0	0	0	0	0	0	0	0.04002001	0	0	0.020010006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020010006	0	0	0	0	0	0	0	0	0	0
NODE_1442_length_14139_cov_2.756766__full	0.1901494	0.17013368	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04003145	0.03002359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1444_length_14115_cov_8.943279__full	0.020050125	0	0	0	0	0	0	0	0	0.057286073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1445_length_14113_cov_5.289068__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1485_length_13859_cov_7.564462__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01021227	0	0	0	0.02042454	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1509_length_13710_cov_4.484755__full	0.31932154	0.7743363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020648967	0	0	0	0	0
NODE_1510_length_13705_cov_6.290754__full	0	0.030984877	0	0	0	0	0	0	0	0.020656584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1512_length_13702_cov_3.715871__full	0.37190083	0.9917355	0	0	0	0	0	0	0	0.56855077	0	0	0	0	0	0	0.06198347	0.06198347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020661157	0	0	0	0	0
NODE_1518_length_13658_cov_3.568552__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1521_length_13636_cov_6.200783__full	0.52943796	1.1314697	0.020762272	0	0	0	0	0	0	0	0	0	0.020762272	0	0	0	0.041524544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1554_length_13441_cov_4.985759__full	0.28395155	0.1733504	0	0	0	0	0	0	0	0.017455421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1558_length_13406_cov_21.868941__full	0.12673506	0.084490046	0	0	0	0	0	0	0	0.02942064	0	0	0	0	0	0	0.021122511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1560_length_13389_cov_6.987810__full	0.5287408	0.87718105	0	0	0	0	0	0	0	0	0	0	0	0	0	0.049852706	0.0305159	0	0	0	0	0	0	0.042299267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1576_length_13295_cov_8.180661__full	0.40251046	0.41536707	0	0	0	0	0	0	0	0.0852035	0.021300875	0	0	0	0	0.031951312	0.021300875	0	0	0	0	0	0	0.10650437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1588_length_13252_cov_7.596138__full	0	0.02129446	0	0	0	0	0	0	0	0.042741567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1607_length_13124_cov_4.685681__full	0.49144444	0.51788193	0	0	0	0	0	0	0	0.094034225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1610_length_13104_cov_5.492118__full	0.3300911	0.18349545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1611_length_13097_cov_6.117557__full	0	0.04325326	0	0	0	0	0	0	0	0.02162663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1620_length_13073_cov_4.767766__full	0.60667026	1.2458408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1652_length_12876_cov_5.613837__full	2.4526954	2.7044632	0	0	0	0	0	0	0	0.1320132	0	0	0	0	0.021766461	0.109618105	0.02420242	0	0	0	0	0.0220022	0	0.1320132	0	0.03190319	0	0	0	0	0	0	0	0.0220022	0	0	0	0	0
NODE_1653_length_12876_cov_3.957815__full	3.3454344	2.2890146	0	0	0	0	0	0	0	0.2420242	0	0	0	0	0	0	0	0	0	0	0	0.021373566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1664_length_12832_cov_12.029451__full	0.13247122	0.06623561	0	0	0	0	0	0	0	0.17568207	0	0	0	0	0	0.033117805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1671_length_12799_cov_3.668346__full	0	0.022136137	0	0	0	0	0	0	0	0.022136137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
